study_status,carstensen_name,jetz_name,operational_name,family,habitat,role,guild,module,module_area_Banda_Sea,module_area_Lesser_Sundas,module_area_Maluku,module_area_Sulawesi,island_area_Adonara,island_area_Alor,island_area_Ambelau,island_area_Ambon,island_area_Autauro,island_area_Bacan,island_area_Banda_islands,island_area_Banggai_islands,island_area_Barbar,island_area_Bisa,island_area_Boano,island_area_Bonerate,island_area_Buru,island_area_Butung_or_Buton,island_area_Damar_islands,island_area_Flores,island_area_Gomumu_island,island_area_Gorong_islands,island_area_Halmahera,island_area_Haruku,island_area_Kabaena,island_area_Kai_Islands,island_area_Kalaotoa_islands,island_area_Kasiruta,island_area_Kayoa,island_area_Kisar,island_area_Kofiau,island_area_Komodo,island_area_Lembeh,island_area_Leti_islands,island_area_Loloda_islands,island_area_Lomblen,island_area_Lombok,island_area_Lucipara_islands,island_area_Madu,island_area_Makian,island_area_Manadotua,island_area_Manipa,island_area_Manuk_island,island_area_Mare,island_area_Mayu_island,island_area_Miangas,island_area_Moa,island_area_Morotai,island_area_Moti,island_area_Muna,island_area_Muor,island_area_Nila,island_area_Nusa_Laut,island_area_Obi_islands,island_area_Padar,island_area_Palue_island,island_area_Pantar,island_area_Rau_island,island_area_Rinca,island_area_Romang_islands,island_area_Roti,island_area_Sangeang,island_area_Sangihe_Islands,island_area_Saparua,island_area_Satonda,island_area_Sawu,island_area_Selayar,island_area_Semau,island_area_Seram,island_area_Sermata_islands,island_area_Siau,island_area_Solor,island_area_Sula_islands,island_area_Sulawesi,island_area_Sumba,island_area_Sumbawa,island_area_Tobea_island,island_area_Togian_islands,island_area_Tukangbesi_islands,island_area_Talaud_islands,island_area_Taliabu_westernPartOf_Sula_Islands,island_area_Talisei_island,island_area_Tanahjampea,island_area_Tanimbar_Islands,island_area_Tayandu_islands,island_area_Ternate,island_area_Teun,island_area_Tidore,island_area_Tifore,island_area_Timor_island_whole,island_area_Tioor_or_Tiur,island_area_Watubela_Islands,island_area_Wetar,island_area_Widi_islands,node,links,r,l
included,Casuarius casuarius,Casuarius casuarius,Casuarius.casuarius,Casuariidae,2,Peripheral,Frugivores,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.9360565542
included,Macrocephalon maleo,Macrocephalon maleo,Macrocephalon.maleo,Megapodiidae,2,Module hub,Frugivores,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,-0.2112195958
included,Eulipoa wallacei,Eulipoa wallacei,Eulipoa.wallacei,Megapodiidae,1,Module hub,Frugivores,4,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,8,0,0.5825244651
non-informative habitat category,Megapodius cumingii,Megapodius cumingii,Megapodius.cumingii,Megapodiidae,6,Module hub,Insectivores,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,1.0679420684
included,Megapodius bernsteinii,Megapodius bernsteinii,Megapodius.bernsteinii,Megapodiidae,5,Module hub,Insectivores,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,-0.2112195958
included,Megapodius tenimberensis,Megapodius tenimberensis,Megapodius.tenimberensis,Megapodiidae,1,Peripheral,Insectivores,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,-0.9088053673
non-informative habitat category,Megapodius freycinet,Megapodius freycinet,Megapodius.freycinet,Megapodiidae,6,Module hub,Insectivores,4,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,7,13,0,1.6672251932
no guild information; no habitat information,Megapodius forstenii,NA,Megapodius.forstenii,Megapodiidae,,Module hub,,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0.5825244651
included,Megapodius reinwardt,Megapodius reinwardt,Megapodius.reinwardt,Megapodiidae,2,Module hub,Frugivores,2,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,9,29,0.499405,1.7832730004
non-informative habitat category,Coturnix ypsilophora,Coturnix ypsilophora,Coturnix.ypsilophora,Phasianiadae,6,Module hub,Herbivores,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,10,12,0.486111,0.3776232859
included,Coturnix chinensis,Coturnix chinensis,Coturnix.chinensis,Phasianiadae,4,Network hub,Herbivores,4,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,11,22,0.727273,0.3655843195
included,Rollulus rouloul,Rollulus rouloul,Rollulus.rouloul,Phasianiadae,1,Peripheral,Frugivores,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,-0.9266401665
included,Gallus varius,Gallus varius,Gallus.varius,Pheasant,5,Module hub,Insectivores,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0,0.81237777
included,Lophura erythrophthalma,Lophura erythrophthalma,Lophura.erythrophthalma,Pheasant,1,Peripheral,Insectivores,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,-0.9266401665
non-informative habitat category,Falco moluccensis,Falco moluccensis,Falco.moluccensis,Falconidae,6,Network hub,Carnivore,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,59,49,0.732195,2.5513957065
non-informative habitat category,Falco cenchroides,Falco cenchroides,Falco.cenchroides,Falconidae,6,Peripheral,Invertabrates,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2,0.5,-0.9088053673
included,Falco severus,Falco severus,Falco.severus,Falconidae,5,Module hub,Insectivores,4,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,61,14,0.581633,0.5825244651
non-informative habitat category,Falco longipennis,Falco longipennis,Falco.longipennis,Falconidae,6,Network hub,Carnivore,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,62,19,0.648199,1.0297550121
included,Falco peregrinus,Falco peregrinus,Falco.peregrinus,Falconidae,5,Network hub,Carnivore,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,63,19,0.725762,0.3776232859
non-informative habitat category,Pandion haliaetus,Pandion haliaetus,Pandion.haliaetus,Pandionidae,6,Network hub,Piscivore,2,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,64,42,0.744898,1.2063990644
included,Aviceda jerdoni,Aviceda jerdoni,Aviceda.jerdoni,Accipitridae,2,Module hub,Insectivores,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,3,0,-0.2112195958
non-informative habitat category,Aviceda subcristata,Aviceda subcristata,Aviceda.subcristata,Accipitridae,6,Network hub,Omnivores,4,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,65,33,0.699725,1.6672251932
included,Henicopernis longicauda,Henicopernis longicauda,Henicopernis.longicauda,Accipitridae,2,Peripheral,Insectivores,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,0,-0.9360565542
included,Pernis celebensis,Pernis celebensis,Pernis.celebensis,Accipitridae,2,Module hub,Insectivores,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,3,0,-0.2112195958
included,Macheiramphus alcinus,Macheiramphus alcinus,Macheiramphus.alcinus,Accipitridae,2,Peripheral,Carnivore,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,1,0,-0.8508004278
non-informative habitat category,Elanus caeruleus,Elanus caeruleus,Elanus.caeruleus,Accipitridae,6,Module hub,Carnivore,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,75,13,0.544379,0.5950005279
non-informative habitat category,Milvus migrans,Milvus migrans,Milvus.migrans,Accipitridae,6,Peripheral,Carnivore,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1,0,-0.8508004278
included,Haliastur indus,Haliastur indus,Haliastur.indus,Accipitridae,5,Network hub,Carnivore,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,91,45,0.725926,2.3340184644
included,Haliaeetus leucogaster,Haliaeetus leucogaster,Haliaeetus.leucogaster,Accipitridae,3,Network hub,Carnivore,2,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,97,48,0.736979,1.5909816884
included,Ichthyophaga humilis,Ichthyophaga humilis,Ichthyophaga.humilis,Accipitridae,2,Module hub,Piscivore,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,5,0.32,0.1085708203
included,Ichthyophaga ichthyaetus,Ichthyophaga ichthyaetus,Ichthyophaga.ichthyaetus,Accipitridae,1,Peripheral,Piscivore,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,1,0,-0.8508004278
non-informative habitat category,Circaetus gallicus,Circaetus gallicus,Circaetus.gallicus,Accipitridae,6,Module hub,Carnivore,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,95,10,0,1.0297550121
non-informative habitat category,Spilornis rufipectus,Spilornis rufipectus,Spilornis.rufipectus,Accipitridae,6,Module hub,Carnivore,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66,10,0.18,1.7075229004
non-informative habitat category,Circus assimilis,Circus assimilis,Circus.assimilis,Accipitridae,6,Module hub,Carnivore,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,83,5,0,0.4283612363
included,Accipiter griseiceps,Accipiter griseiceps,Accipiter.griseiceps,Accipitridae,2,Module hub,Carnivore,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,4,0,0.1085708203
included,Accipiter trinotatus,Accipiter trinotatus,Accipiter.trinotatus,Accipitridae,2,Module hub,Carnivore,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,94,5,0,0.4283612363
non-informative habitat category,Accipiter hiogaster,NA,Accipiter.hiogaster,Accipitridae,6,Network hub,Carnivore,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,90,21,0.62585,1.0297550121
no habitat information,Accipiter griseogularis,NA,Accipiter.griseogularis,Accipitridae,,Module hub,Carnivore,4,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,100,8,0,0.5825244651
non-informative habitat category,Accipiter fasciatus,Accipiter fasciatus,Accipiter.fasciatus,Accipitridae,6,Module hub,Carnivore,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,98,26,0.529586,1.8992639803
included,Accipiter henicogrammus,Accipiter henicogrammus,Accipiter.henicogrammus,Accipitridae,2,Peripheral,Carnivore,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,101,4,0,-0.2852361174
included,Accipiter virgatus,Accipiter virgatus,Accipiter.virgatus,Accipitridae,2,Peripheral,Carnivore,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1,0,-0.9266401665
included,Accipiter nanus,Accipiter nanus,Accipiter.nanus,Accipitridae,1,Peripheral,Insectivores,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1,0,-0.8508004278
included,Accipiter erythrauchen,Accipiter erythrauchen,Accipiter.erythrauchen,Accipitridae,2,Module hub,Carnivore,4,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,7,0,0.3655843195
non-informative habitat category,Accipiter rhodogaster,Accipiter rhodogaster,Accipiter.rhodogaster,Accipitridae,6,Module hub,Carnivore,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,6,0,0.7481516523
included,Accipiter meyerianus,Accipiter meyerianus,Accipiter.meyerianus,Accipitridae,2,Module hub,Carnivore,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,5,0,-0.0682959718
non-informative habitat category,Butastur liventer,Butastur liventer,Butastur.liventer,Accipitridae,6,Peripheral,Carnivore,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,69,2,0.5,-0.8508004278
included,Ictinaetus malayensis,Ictinaetus malayensis,Ictinaetus.malayensis,Accipitridae,2,Module hub,Carnivore,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,102,11,0.495868,0.1486441738
non-informative habitat category,Aquila gurneyi,Aquila gurneyi,Aquila.gurneyi,Accipitridae,6,Module hub,Carnivore,4,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,99,8,0,0.5825244651
non-informative habitat category,Hieraaetus fasciatus,Aquila fasciatus,Hieraaetus.fasciatus,Accipitridae,6,Module hub,Carnivore,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,80,9,0.345679,0.3776232859
